S1181,279.649506
S4900,216 
S7238,202.19 
S2391,201.8263632
S2779,201.6981685
S2244,201.69 
S7113,201.5775635
S2158,201.5643803
S1090,201.2983745
S8005,201.2956118
S1422,201.0751364
S2806,201.0506518
S1541,201.0373527
S1085,201.0365949
S1147,200.9614627
S2740,200.93 
S1515,200.848025
S1451,200.6563844
S2759,200.5702487
S1103,200.5490761
S2686,200.5430635
S1047,200.5297011
S2818,200.5198663
S8038,200.5084321
S1143,200.4757051
S2821,200.4008016
S8146,200.38 
S2214,200.3612146
S2693,200.3434459
S7292,200.3358572
S1249,200.3245765
S1095,200.2851428
S8000,200 
S7233,200.2769261
S1096,200.2656689
S1107,200.1896534
S1048,200.1764997
S2718,200.142676
S2692,200.1294956
S2179,200.0255352
S3001,199.83 
S3147,199.8100167
S2198,199.7928075
S8567,200 
S8429,200 
S7295,199.7840173
S2697,200 
S7815,200 
S7029,199.7825152
S8096,199.77 
S7605,199.7649824
S8111,199.75 
S7237,199.742554
S7845,200 
S1703,200 
S7476,199.7297774
S7618,199.7070963
S2170,199.5924113
S7853,200 
S7979,200 
S8209,199.52 
S8502,199 
S2867,199.3620415
S1529,199.3612697
S1098,199.3544712
S1454,199.3540927
S7276,199.341307
S7617,199 
S7596,199 
S2796,199.31503
S8056,199.2825827
S8370,199 
S1950,199 
S1053,199.2508169
S1134,199.2501901
S2851,199.235367
S1154,199.2258652
S1100,199.2198968
S7231,199.2192758
S7360,199.1910405
S7473,199.1798477
S8043,199.1726674
S2770,199.1600641
S7650,199 
S7315,199.1474002
S7438,199.1474002
S2298,199 
S7110,199.1290838
S7065,199 
S2012,199.1090713
S1378,199.1056566
S2902,199.1056566
S2627,198.9996235
S7835,198.97 
S7625,198.95 
S7300,198.915009
S7555,198.8782374
S2407,199 
S7541,198.79 
S4294,198.6828066
S7229,198.6754967
S1007,198.6717375
S7730,199 
S1216,198.6240249
S1087,198.6097319
S2719,198.5781802
S2542,199 
S1168,198.5679042
S8323,198.55 
S2789,198.4825687
S8270,198 
S8340,198 
S8195,198.45 
S4170,198 
S2791,198 
S1233,198.4061374
S8001,198.3852364
S7767,198.35 
S8112,198.33 
S1132,198.3106867
S7570,198.2783635
S7120,198.2765195
S7070,198.2553529
S8249,198 
S5001,198.2199845
S7641,198.1942303
S7294,198.1902627
S1848,198 
S7189,198.1599434
S7816,198 
S4715,198 
S8179,198.07 
S8400,198 
S7259,198 
S7582,197.9800298
S1060,197.9468766
S4589,198 
S7612,198 
S2162,197.8381168
S8265,198 
S7832,197.76 
S7620,197.7420616
S8460,198 
S7581,197.7147259
S7104,197.6388742
S8496,198 
S7595,198 
S7304,197.5493873
S1802,197 
S1030,197.4644421
S7953,197 
S2341,197 
S2197,197 
S7572,197.30 
S7278,197 
S1200,197.1868016
S1396,197.1608833
S7958,197 
S7574,197.0681787
S7569,197 
S7726,197 
S7593,197 
S1782,196.5601966
S1899,197 
S4710,197 
S2554,196.47 
S7256,196.4482163
S8071,196 
S7689,196 
S7234,195.5912671
S4246,194.5181256
S7324,194.3559045
S7820,194 
S8353,193 
S2736,190.5923611
S8180,190.45 
S2018,190.27 
S7804,189.872216
S7616,189.1574925
S7088,188.7789776
S7239,189 
S7353,185.2984231
S7884,182 
S7207,181 
S2219,178.5455774
S7062,177.7114322
S7817,177 
S7946,175 
S8147,174 
S7575,174 
S7681,172.6056642
S8245,172 
S8481,165 
S8006,163.3278891
S7079,161.6631909
S7610,157.2500118
S2250,157 
S7748,156.4781974
S8344,150 
S7265,149.298298
S8068,144 
S7305,143.4458296
S4735,139 
S2911,133 
S8359,126 
S7318,124 
S7296,123.0575509
S7041,114.3659711
S7611,107.5599262
S1774,102 
S2886,94.81 
S7634,89 
S7165,88 
S8464,88 
S7680,86.77780315
S7144,83 
S8004,81.54168139
S7281,80.96903744
S1045,76.05820106
S1129,75.09584601
S8190,70 
S1004,69.58942241
S7833,68 
S7796,66.30 
S7591,65.30098919
S1171,65.13597134
S8363,61 
S2804,58.30608158
S1055,58 
S1133,52.0311416
S7619,50.59246439
S7119,48 
S1194,46.03097885
S7656,45.71115124
S8443,45 
S7906,45 
S4125,42.96916962
S7983,42 
S1484,41.36044033
S7843,41 
S2178,37.45435251
S7036,35.99307133
S1122,32.79184744
S7373,32.52128666
S8287,32 
S7805,31.14 
S7792,31 
S8441,30 
S7152,29.18593687
S8049,26.83363148
S8171,25 
S8057,23.27648229
S7577,23 
S2919,19.86717375
S7795,16.48695882
S1573,15 
S7317,14 
S7588,13 
S8419,13 
S1393,11.15 
